airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
Z91,12,61.58494419,-149.80647000,30,61.58128639,-149.79857725
Z91,30,61.58128639,-149.79857725,12,61.58494419,-149.80647000
Z91,07,61.53884694,-149.97567250,25,61.53899083,-149.96995000
Z91,25,61.53899083,-149.96995000,07,61.53884694,-149.97567250
Z91,16,66.27981928,-145.81551061,34,66.26910308,-145.82090197
Z91,34,66.26910308,-145.82090197,16,66.27981928,-145.81551061
BCV,02L,61.41175561,-149.51619561,20R,61.42023317,-149.50165839
BCV,20R,61.42023317,-149.50165839,02L,61.41175561,-149.51619561
BCV,02R,61.41439108,-149.51019925,20L,61.41819906,-149.50366886
BCV,20L,61.41819906,-149.50366886,02R,61.41439108,-149.51019925
KTS,05,65.33032647,-166.47331403,23,65.33366164,-166.46204919
KTS,23,65.33366164,-166.46204919,05,65.33032647,-166.47331403
KTS,12,65.33345736,-166.47186392,30,65.32823964,-166.45681097
KTS,30,65.32823964,-166.45681097,12,65.33345736,-166.47186392
BVK,11,65.98386692,-161.15826050,29,65.97925889,-161.14001333
BVK,29,65.97925889,-161.14001333,11,65.98386692,-161.15826050
LUR,09,68.87634956,-166.12896950,27,68.87391839,-166.09323894
LUR,27,68.87391839,-166.09323894,09,68.87634956,-166.12896950
EHM,15,58.65333056,-162.06669722,33,58.64296667,-162.06090833
EHM,33,58.64296667,-162.06090833,15,58.65333056,-162.06669722
CZF,02,61.77628550,-166.04511881,20,61.78574381,-166.03403206
CZF,20,61.78574381,-166.03403206,02,61.77628550,-166.04511881
CEM,08,65.57483869,-144.78982364,26,65.57476200,-144.78904869
CEM,26,65.57476200,-144.78904869,08,65.57483869,-144.78982364
CIK,04,66.64177147,-143.75096300,22,66.64827783,-143.72882586
CIK,22,66.64827783,-143.72882586,04,66.64177147,-143.75096300
WCR,03,67.50230278,-148.49222778,21,67.50673056,-148.47421389
WCR,21,67.50673056,-148.47421389,03,67.50230278,-148.49222778
CFK,16,60.14120844,-164.27951375,34,60.13238425,-164.27858356
CFK,34,60.13238425,-164.27858356,16,60.14120844,-164.27951375
C05,16,60.08266111,-147.99511667,34,60.07446111,-147.99435278
C05,34,60.07446111,-147.99435278,16,60.08266111,-147.99511667
VAK,02,61.53715186,-165.60592008,20,61.54453764,-165.59586347
VAK,20,61.54453764,-165.59586347,02,61.53715186,-165.60592008
CKX,13,64.06990000,-141.95436667,31,64.06360278,-141.94832778
CKX,31,64.06360278,-141.94832778,13,64.06990000,-141.95436667
A79,04,56.30917222,-158.53883889,22,56.31275833,-158.53013333
A79,22,56.31275833,-158.53013333,04,56.30917222,-158.53883889
A79,02,56.30852833,-158.37685944,20,56.31439694,-158.36961694
A79,20,56.31439694,-158.36961694,02,56.30852833,-158.37685944
A79,08,56.25617778,-158.78459444,26,56.25473611,-158.77106944
A79,26,56.25473611,-158.77106944,08,56.25617778,-158.78459444
CZN,12,62.07543333,-142.05320000,30,62.06806667,-142.04550000
CZN,30,62.06806667,-142.04550000,12,62.07543333,-142.05320000
CZO,02,62.56022356,-144.67648936,20,62.56444917,-144.66841553
CZO,20,62.56444917,-144.66841553,02,62.56022356,-144.67648936
CXC,13,61.58686389,-144.43261944,31,61.57954167,-144.42698611
CXC,31,61.57954167,-144.42698611,13,61.58686389,-144.43261944
9A3,09,61.58037942,-159.22498697,27,61.57774975,-159.20627244
9A3,27,61.57774975,-159.20627244,09,61.58037942,-159.22498697
CRC,15,65.83199633,-144.07619511,33,65.82385261,-144.07618094
CRC,33,65.82385261,-144.07618094,15,65.83199633,-144.07619511
